Merchant Name,Amount,Frequency,Subscription Type,Subscription Category,Transaction Count,First Date,Last Date,Transaction IDs,Correct Category?,Review Notes
DISCOVER E-PAYMENT WEB ID:,-524.79,MONTHLY,other,recurring,2,2024-03-07,2024-04-08,"2b7cc3f0-7fa3-3e35-853c-90f84b9ac8b9, c5a53277-a5f5-3873-947e-e8872e39b73b",,
CHASE CREDIT CRD AUTOPAY PPD ID:,-489.25,MONTHLY,other,recurring,3,2024-04-10,2025-10-10,"d43fc567-2a97-3b21-aa89-a63ec17e18e1, 22b51b94-f643-3123-b6ba-89c4ca490e22, 7eabcb87-2d55-33ac-a7e5-74b3f92ae665",,
CITY OF BELLEVUE UTILITY TEL ID:,-388.53,MONTHLY,other,recurring,4,2025-01-17,2025-07-18,"d17223e4-1678-33cb-a21e-1d5f21e8071a, f74a923a-2c2a-3964-a447-350fb34c3dc7, 1325cba9-daea-3107-86b3-e5484fce2f14, 1e0ebf55-b845-3bab-9b67-7efe3a843e9b",,
CHASE CREDIT CRD AUTOPAY PPD ID:,-333.16,MONTHLY,other,recurring,2,2024-07-10,2024-08-12,"646d5668-fa82-3a2d-a221-5c839b560f9d, db9b49c0-58bf-3b48-81a3-3a30066cc6bd",,
AMZ_STORECRD_PMT PAYMENT WEB ID:,-270.93,SEMI_ANNUAL,other,recurring,3,2024-02-09,2025-02-10,"1d29a28f-2321-3829-81f4-18e358419463, a59879dd-d521-3844-84bf-d0360e52ab08, fce689a8-66b0-3d2c-926a-29397511683b",,
PUGET SOUND ENER BILLPAY PPD ID:,-249.24,MONTHLY,other,recurring,3,2024-04-17,2025-06-18,"e93989e0-e184-3a05-8648-f1a219e3efd2, 10effe9b-f75a-3de1-96a4-a28d878df00b, 8bb00055-068c-3441-abba-ce14f33af6ad",,
T-MOBILE PCS SVC WEB ID:,-194.42,MONTHLY,other,recurring,3,2024-05-01,2024-09-03,"485a0598-caa0-3cbb-8485-b354da32459b, 2d999c50-6042-3fa8-956d-b21a1180384f, 490cdfc3-c7aa-328b-859e-991178fdb4cb",,
PUGET SOUND ENER BILLPAY PPD ID:,-179.04,MONTHLY,other,recurring,4,2024-06-18,2024-11-19,"691c11bb-7dbe-3450-9935-30c99f8b1f7d, 0bedccbd-f6ac-388b-a874-3b5eaaeca7ac, 8db9569d-20ab-309c-a148-75c1ff791a27, 76b74cf2-c6f5-3180-9f6b-a7fb8b3cb551",,
CHASE CREDIT CRD AUTOPAY PPD ID:,-122.4,SEMI_ANNUAL,other,recurring,2,2024-03-11,2024-09-10,"3f942ef3-f863-3139-b9bd-1da5bdac1121, 4af69c68-851d-3aa0-8440-85725617fbbb",,
CHASE CREDIT CRD AUTOPAYBUS PPD ID:,-97,MONTHLY,other,recurring,7,2025-05-27,2025-11-28,"96c72074-acce-3afe-918f-9f5296d72614, 25a7ea45-210d-349c-a545-0be7b149cfcc, bfb19878-8c44-378b-b0c6-bd637444c988, 71cde907-0b4b-3a73-b285-182fa873bb64, 7e2431ec-a055-3dc1-b5f5-eaeaec6e3a1e ... (2 more)",,
CONSUMER USD INTERNATIONAL WIRE FEE,-50,MONTHLY,other,recurring,2,2025-08-11,2025-09-05,"43c7d92b-d2b4-305f-9432-c75d09dde58b, 438c137e-e6fa-3838-92d5-47457882f2ec",,
PAYPAL INST XFER PPCR CC REPAYME WEB ID: PAYPALSI77,-44.99,MONTHLY,other,recurring,3,2024-07-05,2024-10-04,"77200ea8-46e9-345a-8871-06f6f806972d, ab9e845a-0309-3f97-985d-6721a3e17099, f0b1faf6-0cb9-3289-8ba0-eebdfaca36d2",,
PAYPAL INST XFER PPCR CC REPAYME WEB ID: PAYPALSI77,-0.99,MONTHLY,other,recurring,8,2024-11-05,2025-10-06,"93f60a8b-4b6c-3d9f-9a6c-b92595f01910, eaf9ace1-7f09-3703-8ab2-f637cf4fbd8b, 767f79bf-dac0-36c7-bf77-fac5ca223b17, edf770fb-1b28-3ef9-8ba6-0f97b318cb47, e58273f1-8635-390d-9a22-f44a9fc469b3 ... (3 more)",,
